epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,758.549,2.00715,2.3451,1.70743,0.28792,0.40414,0.28193,0.11975,1.8199,2.08834,1.62134,0.0013714,0.0013714,0.0013714
4,1006.62,1.96155,2.24152,1.68477,0.3376,0.40528,0.30145,0.13163,1.82063,2.04848,1.64236,0.00134412,0.00134412,0.00134412
5,1227.74,1.90632,2.18459,1.64256,0.36314,0.41476,0.33404,0.14782,1.74129,1.99168,1.60027,0.00131582,0.00131582,0.00131582
6,1475.82,1.87925,2.12166,1.62636,0.36889,0.44088,0.36274,0.16463,1.72508,1.82164,1.58095,0.00128753,0.00128753,0.00128753
7,1735.09,1.84773,2.06241,1.60387,0.30991,0.45471,0.27748,0.12217,1.73971,2.03064,1.57148,0.00125923,0.00125923,0.00125923
8,1972.17,1.82222,2.02117,1.57997,0.40082,0.48316,0.40832,0.19298,1.65188,1.74689,1.51346,0.00123094,0.00123094,0.00123094
9,2207.8,1.80529,2.00071,1.56694,0.36813,0.49852,0.38992,0.18717,1.62945,1.82546,1.51191,0.00120265,0.00120265,0.00120265
10,2459.83,1.78546,1.96546,1.5609,0.4481,0.47545,0.42359,0.20801,1.64149,1.72542,1.53835,0.00117435,0.00117435,0.00117435
11,2726.96,1.78495,1.94162,1.56259,0.4529,0.48117,0.42252,0.202,1.66095,1.70068,1.52733,0.00114606,0.00114606,0.00114606
12,3004.87,1.75557,1.90617,1.53072,0.43439,0.47837,0.41383,0.20176,1.61196,1.72331,1.50535,0.00111776,0.00111776,0.00111776
13,3276.64,1.74641,1.89183,1.53059,0.43789,0.49658,0.43314,0.20733,1.61277,1.68825,1.49478,0.00108947,0.00108947,0.00108947
14,3560.8,1.74256,1.8649,1.53454,0.44493,0.54559,0.46722,0.23218,1.59199,1.64037,1.50519,0.00106118,0.00106118,0.00106118
15,3837.03,1.72972,1.86313,1.52864,0.44217,0.53944,0.4255,0.20961,1.62908,1.6704,1.50957,0.00103288,0.00103288,0.00103288
16,4111.15,1.72213,1.82897,1.51462,0.4735,0.50872,0.46861,0.24199,1.56228,1.59623,1.47341,0.00100459,0.00100459,0.00100459
17,4361.59,1.70588,1.82579,1.51988,0.48635,0.52939,0.49156,0.25078,1.58602,1.58178,1.47879,0.000976293,0.000976293,0.000976293
18,4607.12,1.69146,1.78188,1.49774,0.48913,0.55775,0.49222,0.24918,1.58015,1.58491,1.46637,0.000947999,0.000947999,0.000947999
19,4848.19,1.67979,1.76743,1.493,0.52282,0.51966,0.5019,0.26024,1.54912,1.53045,1.45975,0.000919704,0.000919704,0.000919704
20,5089.46,1.67454,1.75542,1.48644,0.49731,0.53642,0.49333,0.25131,1.57602,1.55408,1.48536,0.00089141,0.00089141,0.00089141
21,5360.53,1.67286,1.75221,1.48848,0.51715,0.53604,0.50232,0.2607,1.55086,1.53428,1.45953,0.000863116,0.000863116,0.000863116
22,6064.44,1.65963,1.73385,1.47841,0.53263,0.55746,0.52418,0.27019,1.5547,1.51493,1.44887,0.000834822,0.000834822,0.000834822
23,6244.5,1.65913,1.72095,1.477,0.50577,0.56911,0.51955,0.27149,1.54352,1.50214,1.45554,0.000806528,0.000806528,0.000806528
24,6413.95,1.64161,1.69726,1.46665,0.52008,0.58381,0.51592,0.27383,1.5173,1.48491,1.44188,0.000778233,0.000778233,0.000778233
25,6585.51,1.6313,1.69215,1.4589,0.5073,0.56038,0.5308,0.27979,1.52145,1.49033,1.44366,0.000749939,0.000749939,0.000749939
26,6755.03,1.61932,1.66448,1.44933,0.53765,0.55021,0.53942,0.28106,1.53348,1.46311,1.44367,0.000721645,0.000721645,0.000721645
27,6924.15,1.61292,1.62928,1.44537,0.50716,0.59116,0.52687,0.27848,1.52217,1.46619,1.43401,0.000693351,0.000693351,0.000693351
28,7090.61,1.60704,1.63217,1.43596,0.51991,0.58362,0.53897,0.28584,1.51103,1.44951,1.42104,0.000665057,0.000665057,0.000665057
29,7258.84,1.59775,1.61268,1.43392,0.52721,0.59147,0.55748,0.30096,1.49074,1.41093,1.4076,0.000636762,0.000636762,0.000636762
30,7424.32,1.58773,1.59173,1.42932,0.54374,0.61102,0.57047,0.30385,1.52553,1.38285,1.42931,0.000608468,0.000608468,0.000608468
31,7607.78,1.58476,1.59174,1.42361,0.56329,0.59359,0.57238,0.30997,1.49315,1.36951,1.40544,0.000580174,0.000580174,0.000580174
32,7775.91,1.58019,1.57719,1.41329,0.55504,0.61128,0.57624,0.31393,1.48882,1.36608,1.40805,0.00055188,0.00055188,0.00055188
33,8287.52,1.57309,1.55057,1.41458,0.54791,0.57672,0.56249,0.30798,1.49046,1.40206,1.41034,0.000523586,0.000523586,0.000523586
34,8599.94,1.55628,1.53506,1.40433,0.55519,0.60831,0.59092,0.31994,1.48475,1.35289,1.4127,0.000495291,0.000495291,0.000495291
35,8950.52,1.55693,1.55013,1.40556,0.57547,0.60127,0.59038,0.32413,1.48557,1.3562,1.40152,0.000466997,0.000466997,0.000466997
36,9396.67,1.54327,1.50822,1.39413,0.60075,0.59727,0.60442,0.33474,1.48167,1.3241,1.4022,0.000438703,0.000438703,0.000438703
37,9839.39,1.5376,1.50309,1.38953,0.58006,0.61722,0.60283,0.33677,1.47016,1.31931,1.39789,0.000410409,0.000410409,0.000410409
38,10268.6,1.5218,1.48161,1.38352,0.56557,0.6278,0.60053,0.33264,1.45978,1.33279,1.38446,0.000382115,0.000382115,0.000382115
39,10685.9,1.51379,1.46822,1.3756,0.58088,0.63113,0.61141,0.34374,1.46564,1.29157,1.38947,0.00035382,0.00035382,0.00035382
40,11107,1.50775,1.44457,1.3738,0.59132,0.65052,0.62402,0.35169,1.47144,1.28814,1.38811,0.000325526,0.000325526,0.000325526
41,11491.4,1.47899,1.36779,1.39192,0.58608,0.62849,0.62279,0.34721,1.47025,1.28337,1.39169,0.000297232,0.000297232,0.000297232
42,11887,1.45415,1.31895,1.37063,0.60779,0.6274,0.63197,0.35656,1.46487,1.27164,1.38514,0.000268938,0.000268938,0.000268938
43,12287.6,1.44212,1.30487,1.36882,0.60688,0.62799,0.63181,0.36011,1.45535,1.26351,1.38639,0.000240644,0.000240644,0.000240644
44,12701.5,1.42743,1.28437,1.36316,0.60576,0.62287,0.638,0.36264,1.44456,1.24432,1.38177,0.000212349,0.000212349,0.000212349
45,13096.1,1.42323,1.27636,1.35578,0.62186,0.63585,0.64513,0.36796,1.44102,1.23577,1.3755,0.000184055,0.000184055,0.000184055
46,13503.7,1.41582,1.2629,1.35181,0.63407,0.65028,0.66082,0.37656,1.43841,1.21326,1.3776,0.000155761,0.000155761,0.000155761
47,13896.5,1.38941,1.2327,1.34112,0.63757,0.63541,0.65681,0.37824,1.43637,1.21671,1.37468,0.000127467,0.000127467,0.000127467
48,14072.1,1.38205,1.21425,1.33255,0.6451,0.65412,0.66253,0.38077,1.43688,1.20938,1.37799,9.91726e-05,9.91726e-05,9.91726e-05
49,14341.5,1.37969,1.20835,1.33243,0.65549,0.64641,0.66635,0.38512,1.43145,1.19722,1.37267,7.08784e-05,7.08784e-05,7.08784e-05
50,14605.9,1.37617,1.19159,1.32422,0.65481,0.63966,0.6689,0.3861,1.43484,1.195,1.37269,4.25842e-05,4.25842e-05,4.25842e-05
